Rank,Feature,InterIntraRatio,InterUserVariance,MeanIntraUserVariance
1,22,212.56209148781,0.0786128569673053,0.000369834792351797
2,24,188.132287848169,0.076417587573949,0.000406190709994341
3,32,188.132287848169,0.076417587573949,0.000406190709994341
4,31,68.7932903461349,0.0705970135655935,0.0010262194642874
5,33,67.2574061764091,0.100907080016721,0.00150031179840682
6,75,52.4154795248871,6399.26029663923,122.087222222222
7,46,39.0146137394395,0.029207494328992,0.000748629591056485
8,19,34.6126858322891,0.1025440654409,0.00296261509256331
9,83,33.7072957913111,4233.39290980796,125.592777777778
10,34,31.1431922001617,0.077712408234591,0.00249532571147863
11,40,27.5808060433569,0.0255980093449952,0.000928109544904132
12,47,27.5808060433569,0.0255980093449952,0.000928109544904132
13,38,26.756279524811,0.0221159295220829,0.000826569684382648
14,73,23.7624006085115,8654.29459019205,364.20119047619
15,43,21.5482460981875,0.0101014138681296,0.000468781255889524
